kscore	rxn.code	rxn.name	rxn.genes	rxn.formula
1.00	r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	( x(162) | x(86) )	D-erythrose 4-phosphate [mitochondrion] + H2O [mitochondrion] + phosphoenolpyruvate [mitochondrion]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [mitochondrion] + phosphate [mitochondrion] 
1.00	r_0039	3-dehydroquinate dehydratase	x(173)	3-dehydroquinate [cytoplasm]  -> 3-dehydroshikimate [cytoplasm] + H2O [cytoplasm] 
1.00	r_0040	3-dehydroquinate synthase	x(173)	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid [cytoplasm]  -> 3-dehydroquinate [cytoplasm] + phosphate [cytoplasm] 
1.00	r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	x(173)	3-phosphoshikimic acid [cytoplasm] + phosphoenolpyruvate [cytoplasm]  -> 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid [cytoplasm] + phosphate [cytoplasm] 
1.00	r_0091	6-phosphogluconolactonase	( x(374) | x(423) )	6-O-phosphono-D-glucono-1,5-lactone [cytoplasm] + H2O [cytoplasm]  -> 6-phospho-D-gluconate [cytoplasm] + H+ [cytoplasm] 
1.00	r_0148	adenylate kinase	( x(922) | x(184) )	AMP [cytoplasm] + ATP [cytoplasm]  -> 2 ADP [cytoplasm] 
1.00	r_0156	alanine glyoxylate aminotransferase	x(292)	glyoxylate [cytoplasm] + L-alanine [cytoplasm]  -> L-glycine [cytoplasm] + pyruvate [cytoplasm] 
1.00	r_0202	anthranilate phosphoribosyltransferase	x(208)	anthranilate [cytoplasm] + PRPP [cytoplasm]  -> diphosphate [cytoplasm] + N-(5-phospho-beta-D-ribosyl)anthranilate [cytoplasm] 
1.00	r_0203	anthranilate synthase	( x(277) & x(553) )	chorismate [cytoplasm] + L-glutamine [cytoplasm]  -> anthranilate [cytoplasm] + H+ [cytoplasm] + L-glutamate [cytoplasm] + pyruvate [cytoplasm] 
1.00	r_0216	aspartate transaminase	x(586)	2-oxoglutarate [cytoplasm] + L-aspartate [cytoplasm]  <=> L-glutamate [cytoplasm] + oxaloacetate [cytoplasm] 
1.00	r_0217	aspartate transaminase	x(536)	L-glutamate [mitochondrion] + oxaloacetate [mitochondrion]  -> 2-oxoglutarate [mitochondrion] + L-aspartate [mitochondrion] 
1.00	r_0226	ATP synthase	(( x(2) & x(3) & x(5) & x(31) & x(48) & x(124) & x(196) & x(202) & x(213) & x(507) & x(522) & x(624) & x(659) & x(851) & x(878) ) | ( x(2) & x(3) & x(5) & x(31) & x(48) & x(124) & x(196) & x(213) & x(507) & x(522) & x(624) & x(659) & x(851) & x(878) & x(884) ) | ( x(2) & x(3) & x(5) & x(31) & x(48) & x(124) & x(196) & x(202) & x(213) & x(507) & x(522) & x(624) & x(659) & x(851) & x(878) & x(925) & x(926) & x(927) & x(928) & x(924) ))	ADP [mitochondrion] + 3 H+ [cytoplasm] + phosphate [mitochondrion]  -> ATP [mitochondrion] + 2 H+ [mitochondrion] + H2O [mitochondrion] 
1.00	r_0279	chorismate synthase	x(320)	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid [cytoplasm]  -> chorismate [cytoplasm] + phosphate [cytoplasm] 
1.00	r_0280	cis-aconitate(3-) to isocitrate	x(628)	cis-aconitate [mitochondrion] + H2O [mitochondrion]  <=> isocitrate [mitochondrion] 
1.00	r_0300	citrate synthase	( x(748) | x(881) )	acetyl-CoA [mitochondrion] + H2O [mitochondrion] + oxaloacetate [mitochondrion]  -> citrate [mitochondrion] + coenzyme A [mitochondrion] + H+ [mitochondrion] 
1.00	r_0302	citrate to cis-aconitate(3-)	x(628)	citrate [mitochondrion]  <=> cis-aconitate [mitochondrion] + H2O [mitochondrion] 
1.00	r_0303	citrate to cis-aconitate(3-), cytoplasmic	x(628)	citrate [cytoplasm]  <=> cis-aconitate [cytoplasm] + H2O [cytoplasm] 
1.00	r_0366	enolase	( x(941) | x(375) | x(424) | x(939) | x(940) )	2-phospho-D-glyceric acid [cytoplasm]  <=> H2O [cytoplasm] + phosphoenolpyruvate [cytoplasm] 
1.00	r_0438	ferrocytochrome-c:oxygen oxidoreductase	(( x(1) & x(6) & x(7) & x(132) & x(243) & x(324) & x(325) & x(405) & x(443) & x(588) & x(642) & x(700) ) | ( x(1) & x(6) & x(7) & x(132) & x(243) & x(324) & x(325) & x(405) & x(588) & x(642) & x(700) & x(721) ) | ( x(1) & x(6) & x(7) & x(132) & x(324) & x(325) & x(405) & x(443) & x(496) & x(588) & x(642) & x(700) ) | ( x(1) & x(6) & x(7) & x(132) & x(324) & x(325) & x(405) & x(496) & x(588) & x(642) & x(700) & x(721) ) | ( x(1) & x(6) & x(7) & x(132) & x(950) & x(948) & x(949) & x(951) & x(953) & x(952) ))	ferrocytochrome c [mitochondrion] + 1.266 H+ [mitochondrion] + 0.25 oxygen [mitochondrion]  -> ferricytochrome c [mitochondrion] + 0.633 H+ [cytoplasm] + 0.5 H2O [mitochondrion] 
1.00	r_0439	ubiquinol:ferricytochrome c reductase	(( x(4) & x(26) & x(232) & x(239) & x(243) & x(300) & x(360) & x(392) & x(480) & x(790) & x(908) ) | ( x(4) & x(26) & x(232) & x(239) & x(300) & x(360) & x(392) & x(480) & x(496) & x(790) & x(908) ))	2 ferricytochrome c [mitochondrion] + 1.266 H+ [mitochondrion] + ubiquinol-6 [mitochondrion]  -> 2 ferrocytochrome c [mitochondrion] + 2.532 H+ [cytoplasm] + ubiquinone-6 [mitochondrion] 
1.00	r_0450	fructose-bisphosphate aldolase	x(529)	D-fructose 1,6-bisphosphate [cytoplasm]  <=> dihydroxyacetone phosphate [cytoplasm] + glyceraldehyde 3-phosphate [cytoplasm] 
1.00	r_0452	fumarase, cytoplasmic	x(875)	fumarate [cytoplasm] + H2O [cytoplasm]  <=> (S)-malate [cytoplasm] 
1.00	r_0459	galactose-1-phosphate uridylyltransferase	x(37)	alpha-D-galactose 1-phosphate [cytoplasm] + H+ [cytoplasm] + UTP [cytoplasm]  -> diphosphate [cytoplasm] + UDP-D-galactose [cytoplasm] 
1.00	r_0466	glucose 6-phosphate dehydrogenase	x(736)	D-glucose 6-phosphate [cytoplasm] + NADP(+) [cytoplasm]  -> 6-O-phosphono-D-glucono-1,5-lactone [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm] 
1.00	r_0467	glucose-6-phosphate isomerase	x(76)	D-glucose 6-phosphate [cytoplasm]  <=> D-fructose 6-phosphate [cytoplasm] 
1.00	r_0471	glutamate dehydrogenase (NADP)	( x(15) | x(838) )	2-oxoglutarate [cytoplasm] + ammonium [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> H2O [cytoplasm] + L-glutamate [cytoplasm] + NADP(+) [cytoplasm] 
1.00	r_0476	glutamine synthetase	x(888)	ammonium [cytoplasm] + ATP [cytoplasm] + L-glutamate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + L-glutamine [cytoplasm] + phosphate [cytoplasm] 
1.00	r_0486	glyceraldehyde-3-phosphate dehydrogenase	( x(363) | x(463) | x(490) )	glyceraldehyde 3-phosphate [cytoplasm] + NAD [cytoplasm] + phosphate [cytoplasm]  <=> 1,3-bisphospho-D-glycerate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm] 
1.00	r_0501	glycine cleavage system	( x(12) & x(160) & x(290) & x(689) )	L-glycine [mitochondrion] + NAD [mitochondrion] + THF [mitochondrion]  -> 5,10-methylenetetrahydrofolate [mitochondrion] + ammonium [mitochondrion] + carbon dioxide [mitochondrion] + NADH [mitochondrion] 
1.00	r_0503	glycine hydroxymethyltransferase	x(89)	L-serine [mitochondrion] + THF [mitochondrion]  <=> 5,10-methylenetetrahydrofolate [mitochondrion] + H2O [mitochondrion] + L-glycine [mitochondrion] 
1.00	r_0534	hexokinase (D-glucose:ATP)	( x(933) | x(104) | x(302) | x(333) | x(1057) )	ATP [cytoplasm] + D-glucose [cytoplasm]  -> ADP [cytoplasm] + D-glucose 6-phosphate [cytoplasm] + H+ [cytoplasm] 
1.00	r_0566	indole-3-glycerol-phosphate synthase	x(553)	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm] + H+ [cytoplasm]  -> 1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm] + carbon dioxide [cytoplasm] + H2O [cytoplasm] 
1.00	r_0658	isocitrate dehydrogenase (NAD+)	( x(719) & x(804) )	isocitrate [mitochondrion] + NAD [mitochondrion]  -> 2-oxoglutarate [mitochondrion] + carbon dioxide [mitochondrion] + NADH [mitochondrion] 
1.00	r_0659	isocitrate dehydrogenase (NADP)	x(611)	isocitrate [cytoplasm] + NADP(+) [cytoplasm]  <=> 2-oxoglutarate [cytoplasm] + carbon dioxide [cytoplasm] + NADPH [cytoplasm] 
1.00	r_0662	isocitrate lyase	x(271)	isocitrate [cytoplasm]  -> glyoxylate [cytoplasm] + succinate [cytoplasm] 
1.00	r_0663	isoleucine transaminase	x(513)	2-oxoglutarate [cytoplasm] + L-isoleucine [cytoplasm]  <=> (S)-3-methyl-2-oxopentanoate [cytoplasm] + L-glutamate [cytoplasm] 
1.00	r_0664	isoleucine transaminase	x(427)	2-oxoglutarate [mitochondrion] + L-isoleucine [mitochondrion]  <=> (S)-3-methyl-2-oxopentanoate [mitochondrion] + L-glutamate [mitochondrion] 
1.00	r_0713	malate dehydrogenase	x(532)	(S)-malate [mitochondrion] + NAD [mitochondrion]  <=> H+ [mitochondrion] + NADH [mitochondrion] + oxaloacetate [mitochondrion] 
1.00	r_0714	malate dehydrogenase, cytoplasmic	x(780)	(S)-malate [cytoplasm] + NAD [cytoplasm]  <=> H+ [cytoplasm] + NADH [cytoplasm] + oxaloacetate [cytoplasm] 
1.00	r_0851	phenylalanine transaminase	x(326)	2-oxoglutarate [cytoplasm] + L-phenylalanine [cytoplasm]  <=> keto-phenylpyruvate [cytoplasm] + L-glutamate [cytoplasm] 
1.00	r_0884	phosphoenolpyruvate carboxykinase	x(570)	ATP [cytoplasm] + oxaloacetate [cytoplasm]  -> ADP [cytoplasm] + carbon dioxide [cytoplasm] + phosphoenolpyruvate [cytoplasm] 
1.00	r_0886	phosphofructokinase	( x(691) | ( x(370) & x(691) ))	ATP [cytoplasm] + D-fructose 6-phosphate [cytoplasm]  -> ADP [cytoplasm] + D-fructose 1,6-bisphosphate [cytoplasm] + H+ [cytoplasm] 
1.00	r_0889	phosphogluconate dehydrogenase	( x(377) | x(425) )	6-phospho-D-gluconate [cytoplasm] + NADP(+) [cytoplasm]  -> carbon dioxide [cytoplasm] + D-ribulose 5-phosphate [cytoplasm] + NADPH [cytoplasm] 
1.00	r_0891	phosphoglycerate dehydrogenase	( x(275) | x(437) )	3-phosphonato-D-glycerate(3-) [cytoplasm] + NAD [cytoplasm]  -> 3-phospho-hydroxypyruvate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm] 
1.00	r_0892	phosphoglycerate kinase	x(111)	1,3-bisphospho-D-glycerate [cytoplasm] + ADP [cytoplasm]  <=> 3-phosphonato-D-glycerate(3-) [cytoplasm] + ATP [cytoplasm] 
1.00	r_0893	phosphoglycerate mutase	( x(969) | x(544) )	3-phosphonato-D-glycerate(3-) [cytoplasm]  <=> 2-phospho-D-glyceric acid [cytoplasm] 
1.00	r_0913	phosphoribosylanthranilate isomerase	x(158)	N-(5-phospho-beta-D-ribosyl)anthranilate [cytoplasm]  -> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm] 
1.00	r_0916	phosphoribosylpyrophosphate synthetase	(( x(547) & x(279) ) | ( x(547) & x(388) ) | ( x(547) & x(28) ) | ( x(279) & x(771) ) | ( x(28) & x(771) ))	ATP [cytoplasm] + ribose-5-phosphate [cytoplasm]  -> AMP [cytoplasm] + H+ [cytoplasm] + PRPP [cytoplasm] 
1.00	r_0917	phosphoserine phosphatase (L-serine)	x(368)	3-phospho-serine [cytoplasm] + H2O [cytoplasm]  -> L-serine [cytoplasm] + phosphate [cytoplasm] 
